Order,Sample Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,DNA_DOE,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039
24,24b,0.300264609,4.387667465,Corn,300N,Nitrogen,5,7.57307426,3.74E+07,8.845968448,7.01E+08,8.419896603,2.63E+08,8.582789464,3.83E+08,9.129370087,1.35E+09,19500496.12,59101807.27,19737298.92,1166083845,0,14281955.6,15754234.87
25,25b,0.11005504,0.655923725,Corn,300N,Control,5,7.57934986,3.80E+07,8.907910428,8.09E+08,8.429876703,2.69E+08,8.667617524,4.65E+08,9.18841725,1.54E+09,51700000,78900000,45100000,1738537591,11610936.85,13123781.27,28833852.58
26,26b,0.132066048,-0.021505696,Corn,300N,Carbon,5,7.430805589,2.70E+07,8.846773768,7.03E+08,8.284688692,1.93E+08,8.551145416,3.56E+08,9.097281944,1.25E+09,17300000,39700000,53500000,1596312576,5626941.57,13972098.15,17532504.16
27,27b,0.124729045,4.231245666,Corn,300N,Nitrogen,5,7.463564965,2.91E+07,8.836401651,6.86E+08,8.318361166,2.08E+08,8.545267275,3.51E+08,9.095250613,1.25E+09,14100000,36600000,0,1317352830,6999356.987,15834019.26,24256278.5
28,28b,0.146740053,0.247315503,Corn,0N,Control,5,6.777735606,5.99E+06,8.893446032,7.82E+08,7.385864705,2.43E+07,8.590286538,3.89E+08,9.077748372,1.20E+09,0,0,23900000,1749556209,0,0,13927398.58
29,29b,0.11005504,-0.107528479,Corn,0N,Carbon,5,6.787356484,6.13E+06,8.927795013,8.47E+08,7.31239927,2.05E+07,8.654606215,4.51E+08,9.120180429,1.32E+09,0,0,0,1593380990,0,0,8047033.286
30,30b,0.146740053,4.440926201,Corn,0N,Nitrogen,5,6.832680341,6.80E+06,8.815980294,6.55E+08,7.441738211,2.77E+07,8.608332038,4.06E+08,9.036659988,1.09E+09,0,0,19100000,1671353617,0,0,0
31,31b,0.080707029,4.360279842,Corn,100N,Control,5,6.910128996,8.13E+06,8.784117228,6.08E+08,8.082310324,1.21E+08,8.522123025,3.33E+08,9.026092084,1.06E+09,18600000,0,13600000,1464505436,0,15666174.41,10455822.84
32,32b,0.036685013,3.161337296,Corn,100N,Carbon,5,7.01165805,1.03E+07,8.821909418,6.64E+08,8.159402415,1.44E+08,8.562134822,3.65E+08,9.069230277,1.17E+09,27400000,32600000,0,1968894941,6272192.318,19481338.03,7858361.706
33,33b,0.058696021,9.145297177,Corn,100N,Nitrogen,5,6.959897123,9.12E+06,8.74926638,5.61E+08,8.131829471,1.35E+08,8.527152994,3.37E+08,9.014305474,1.03E+09,0,31100000,18300000,1695285560,7220016.142,25393200.03,10399290.89
34,34b,0.146740053,0.500007429,Corn,0N,Control,5,6.956023416,9.04E+06,9.119563018,1.32E+09,7.707834932,5.10E+07,8.847119093,7.03E+08,9.316227748,2.07E+09,0,0,25000000,3112699877,0,0,6196698.657
35,35b,0.161414058,0.043011392,Corn,0N,Carbon,5,6.919831528,8.31E+06,9.216607212,1.65E+09,7.663665476,4.61E+07,8.835943579,6.85E+08,9.376242501,2.38E+09,0,20900000,17400000,3231340319,0,0,0
36,36b,0.13940305,4.779640911,Corn,0N,Nitrogen,5,7.093571331,1.24E+07,9.282052835,1.91E+09,7.831569771,6.79E+07,8.827202339,6.72E+08,9.423914612,2.65E+09,17300000,15700000,15300000,2743682931,0,0,0
37,1d,0.20106869,2.384681807,Corn,0N,Control,32,7.128771984,1.35E+07,8.985729459,9.68E+08,7.497587358,3.14E+07,8.823778755,6.66E+08,9.221568003,1.67E+09,0,11613009.76,50330367.62,6991326499,0,0,60996073.08
38,2d,0.125667931,2.635229989,Corn,0N,Carbon,32,7.237106587,1.73E+07,9.076748803,1.19E+09,7.673957792,4.72E+07,8.884253429,7.66E+08,9.302448451,2.01E+09,0,11221876.81,33167338.56,8588055737,14340723.45,36076679.87,60628933.19
39,3d,0.175935103,7.391171379,Corn,0N,Nitrogen,32,7.185837319,1.53E+07,9.040963644,1.10E+09,7.62136103,4.18E+07,8.873414769,7.47E+08,9.275977518,1.89E+09,7234470.599,0,15114518.32,7899293472,0,20337540.17,44594330.22
40,4d,0.343492345,1.471970571,Corn,100N,Control,32,7.345107227,2.21E+07,9.001289504,1.00E+09,7.841076784,6.94E+07,8.845771229,7.01E+08,9.248810216,1.77E+09,12500344.53,0,45914066.27,6835316707,0,13227536.32,65753062.89
41,5d,0.184312965,0.78296307,Corn,100N,Carbon,32,7.27240003,1.87E+07,8.980407003,9.56E+08,7.779717348,6.02E+07,8.855974905,7.18E+08,9.239013416,1.73E+09,0,13110776.41,28600134.61,7567678092,14115447.06,17472516.54,68099062.65
42,6d,0.167557241,3.847704229,Corn,100N,Nitrogen,32,7.273012214,1.88E+07,8.934458429,8.60E+08,7.746007382,5.57E+07,8.815247369,6.54E+08,9.195662509,1.57E+09,14410807.24,0,37859284.1,6108324644,0,16904369.71,52582602.06
43,7d,0.150801517,3.002104113,Corn,0N,Control,32,7.083013742,1.21E+07,9.038917726,1.09E+09,7.597112479,3.95E+07,8.893390093,7.82E+08,9.282310778,1.92E+09,0,0,23252936.06,4561008685,0,8372802.242,48795363.97
44,8d,0.175935103,1.905955816,Corn,0N,Carbon,32,6.992899485,9.84E+06,8.961820719,9.16E+08,7.464790879,2.92E+07,8.784814255,6.09E+08,9.191528931,1.55E+09,0,0,13034838.66,5807142573,0,0,54759361.94
45,9d,0.092156483,6.702163878,Corn,0N,Nitrogen,32,7.24768116,1.77E+07,9.124620935,1.33E+09,7.799906945,6.31E+07,8.939757524,8.70E+08,9.355244126,2.27E+09,6705982.079,0,28822203.39,7459692482,0,29797598.43,76110955.7
46,10d,0.175935103,1.820948397,Corn,100N,Control,32,7.33949402,2.19E+07,9.025825512,1.06E+09,7.868953751,7.40E+07,8.852108457,7.11E+08,9.266375861,1.85E+09,8771982.359,0,21031514.06,5787170881,0,12801317.36,18387534.52
47,11d,0.226202276,1.194577941,Corn,100N,Carbon,32,7.211375451,1.63E+07,9.00229803,1.01E+09,7.679247188,4.78E+07,8.864824075,7.33E+08,9.251787409,1.79E+09,0,13629332.42,19699704.07,6110284862,0,12459279.05,20384225.22
48,12d,0.20106869,7.655141786,Corn,100N,Nitrogen,32,7.223845223,1.67E+07,8.929175645,8.50E+08,7.700258014,5.01E+07,8.784251319,6.08E+08,9.178447278,1.51E+09,0,22553448.75,39687861.53,4927700802,0,13013935.85,0
49,13d,0.134045793,17.56074314,Corn,300N,Control,32,6.975862824,9.46E+06,8.587339213,3.87E+08,7.89499039,7.85E+07,8.437389815,2.74E+08,8.868622808,7.39E+08,9546460.851,14747027.73,10001810.89,2485990106,0,11210659.42,18124334.51
50,14d,0.083778621,16.18272813,Corn,300N,Carbon,32,6.887538133,7.72E+06,8.525882697,3.36E+08,7.76364391,5.80E+07,8.387080865,2.44E+08,8.804481732,6.38E+08,8122146.942,7011965.115,20769385.27,2990011566,0,12778297.88,46367642.14
51,15d,0.125667931,17.45783942,Corn,300N,Nitrogen,32,6.924090345,8.40E+06,8.472013078,2.96E+08,7.763791805,5.80E+07,8.361645888,2.30E+08,8.766782494,5.84E+08,15236917.65,0,16168156.43,2964946715,11488452.41,0,13099989.13
52,16d,0.125667931,7.476178798,Corn,300N,Control,32,7.248731538,1.77E+07,8.789466832,6.16E+08,7.912748446,8.18E+07,8.610666919,4.08E+08,9.043615285,1.11E+09,7899124.29,14821102.76,30499908.54,4600761141,18802942.84,46207223.35,38176428.81
53,17d,0.008377862,6.514252741,Corn,300N,Carbon,32,7.437051926,2.74E+07,8.967361968,9.28E+08,8.139501049,1.38E+08,8.866126108,7.35E+08,9.255323106,1.80E+09,15205883.38,25451970.54,38382475.14,7300977248,26731772.42,41695812.31,52470181.06
54,18d,0.117290069,12.18290537,Corn,300N,Nitrogen,32,7.444297567,2.78E+07,8.878872504,7.57E+08,8.12393893,1.33E+08,8.761198091,5.77E+08,9.166331543,1.47E+09,12107231.52,18367621.18,30983059.18,5882018399,26399947.53,28990820.93,75281838.66
55,19d,-0.04188931,2.648652213,Corn,100N,Control,32,7.25375812,1.79E+07,8.95212091,8.96E+08,7.976839166,9.48E+07,8.809516186,6.45E+08,9.213612351,1.64E+09,16028130.41,15647171.52,32504874.47,7402523938,17969466.24,23882887.48,59427861.66
56,20d,0.083778621,0.433985244,Corn,100N,Carbon,32,7.238480554,1.73E+07,8.972264111,9.38E+08,8.03332089,1.08E+08,8.838099852,6.89E+08,9.239278807,1.73E+09,9031418.404,14480873.01,29056448.4,8466050347,12787051.73,0,45580838.04
57,21d,-0.025133586,8.527586349,Corn,100N,Nitrogen,32,7.240369058,1.74E+07,8.932383771,8.56E+08,7.992323539,9.82E+07,8.833808009,6.82E+08,9.213811893,1.64E+09,8981331.172,16329195.22,27059302.07,7022250923,14085782.98,25675064.2,50375624.23
58,22d,0.092156483,3.225807848,Corn,300N,Control,32,7.366060605,2.32E+07,8.898655629,7.92E+08,7.931609422,8.54E+07,8.804175675,6.37E+08,9.180228022,1.51E+09,5934635.109,0,28758574.31,6415862574,11642283.52,21775378.27,43725692.25
59,23d,0.125667931,1.440652048,Corn,300N,Carbon,32,7.36574906,2.32E+07,8.953708584,8.99E+08,7.902630858,7.99E+07,8.84932248,7.07E+08,9.226767894,1.69E+09,0,9227496.848,25274224.28,6681389729,13987580.47,17059113.87,65581403.75
60,24d,0.318358759,7.80278625,Corn,300N,Nitrogen,32,7.325880448,2.12E+07,8.785701916,6.11E+08,7.852622931,7.12E+07,8.715689274,5.20E+08,9.079676915,1.20E+09,6442787.371,10216984.08,22458438.32,4696578314,23362776.56,8732677.957,29148156.13
61,25d,1.095969539,2.500250942,Corn,300N,Control,32,7.460249089,2.89E+07,8.889703543,7.76E+08,7.973404156,9.41E+07,8.765601978,5.83E+08,9.162172311,1.45E+09,8380607.371,0,39147972.24,5442677519,13198724.06,14377543.38,25642121.3
62,26d,0,0.963211428,Corn,300N,Carbon,32,7.478300094,3.01E+07,8.908878535,8.11E+08,8.016987724,1.04E+08,8.744070941,5.55E+08,9.167151761,1.47E+09,12962389.68,11178427.96,36050610.16,5730367462,22068643.42,19594826.81,43036079.06
63,27d,-0.056203566,5.441119878,Corn,300N,Nitrogen,32,7.412073587,2.58E+07,8.858869098,7.23E+08,7.949764014,8.91E+07,8.71050622,5.13E+08,9.122244785,1.33E+09,10183065,9549111.776,45323833.14,5572138228,11227331.65,20666640.39,47523516.67
64,28d,-0.037469044,1.895682067,Corn,0N,Control,32,6.850636157,7.09E+06,8.799789881,6.31E+08,7.173925286,1.49E+07,8.647824069,4.44E+08,9.037437937,1.09E+09,6605924.143,0,30952432.06,4662134154,0,0,25741136.2
65,29d,0.018734522,1.1579031,Corn,0N,Carbon,32,6.923544381,8.39E+06,8.957163771,9.06E+08,7.233834324,1.71E+07,8.833683176,6.82E+08,9.205488119,1.61E+09,0,0,29299646.69,5233591282,0,0,46279894.05
66,30d,0.09367261,6.686121884,Corn,0N,Nitrogen,32,6.803483382,6.36E+06,8.859728533,7.24E+08,7.033009947,1.08E+07,8.704207863,5.06E+08,9.093715718,1.24E+09,0,0,47447764.6,4007405676,0,0,13387128.69
67,31d,0.018734522,7.444394711,Corn,100N,Control,32,7.070562609,1.18E+07,8.865982857,7.34E+08,7.854195011,7.15E+07,8.731163938,5.38E+08,9.128541297,1.34E+09,11026413.11,0,35750038.17,5095517432,6530244.573,0,39063556.64
68,32d,-0.065570827,5.533342249,Corn,100N,Carbon,32,7.008014636,1.02E+07,8.897599542,7.90E+08,7.80349927,6.36E+07,8.809098166,6.44E+08,9.175474398,1.50E+09,0,0,36945969.4,5713198398,0,0,49097565.03
69,33d,-0.074938088,10.13421386,Corn,100N,Nitrogen,32,7.065948188,1.16E+07,8.907706398,8.09E+08,7.833504925,6.82E+07,8.788473351,6.14E+08,9.173517418,1.49E+09,0,0,34604322.73,4233636581,0,0,38821949.36
70,34d,0,2.602720243,Corn,0N,Control,32,6.944733957,8.81E+06,8.91279875,8.18E+08,7.337974064,2.18E+07,8.804745354,6.38E+08,9.16960119,1.48E+09,0,0,27536007.89,5001541516,0,0,49916423.71
71,35d,-0.018734522,2.141608389,Corn,0N,Carbon,32,7.086659874,1.22E+07,9.004794956,1.01E+09,7.475911788,2.99E+07,8.86396249,7.31E+08,9.248486872,1.77E+09,0,7378705.525,30450757.57,5592144733,0,0,13581485.92
72,36d,0.056203566,6.568282188,Corn,0N,Nitrogen,32,7.120289269,1.32E+07,8.972211738,9.38E+08,7.480111479,3.02E+07,8.832201089,6.80E+08,9.216889919,1.65E+09,0,0,21563869.95,5121410810,0,0,16855494.07
73,1f,0.256740784,13.96080951,Corn,0N,Control,87,6.830248803,6.76E+06,8.741394247,5.51E+08,7.532907568,3.41E+07,8.881343138,7.61E+08,9.129157078,1.35E+09,0,24349608.77,25571435.87,1901897664,0,0,12910443.23
74,2f,0.194768871,10.96127219,Corn,0N,Carbon,87,6.866425485,7.35E+06,8.750211949,5.63E+08,7.577549258,3.78E+07,8.840416087,6.92E+08,9.111569957,1.29E+09,22195338.32,0,0,1926195476,0,0,5050799.999
75,3f,0.115090696,15.29393721,Corn,0N,Nitrogen,87,6.948913971,8.89E+06,8.791732614,6.19E+08,7.611195872,4.09E+07,8.863927971,7.31E+08,9.143304651,1.39E+09,14083053.39,0,37878222.61,1904395733,0,0,10702204.89
