Order,Sample Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,DNA_DOE,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039
102,30f,0.137804957,13.3847717,Corn,0N,Nitrogen,87,5.578400344,3.79E+05,7.520259506,3.31E+07,6.382651658,2.41E+06,7.651316376,4.48E+07,7.904987967,8.04E+07,0,0,0,224958668.3,0,0,0
103,31f,0.088588901,13.56423233,Corn,100N,Control,87,6.727629758,5.34E+06,8.548425089,3.54E+08,7.812857829,6.50E+07,8.693533849,4.94E+08,8.960138212,9.12E+08,0,49547362.26,0,1362349187,0,15184287.13,0
104,32f,0.039372845,14.08765915,Corn,100N,Carbon,87,6.99184237,9.81E+06,8.759821918,5.75E+08,8.098108831,1.25E+08,8.883232309,7.64E+08,9.165776561,1.46E+09,31116619.62,28007534.08,37096757.68,2006596344,21750927.5,0,0
105,33f,0.019686422,15.11457274,Corn,100N,Nitrogen,87,6.778516187,6.01E+06,8.588481153,3.88E+08,7.819188817,6.59E+07,8.723839751,5.29E+08,8.992598146,9.83E+08,0,0,19032121.74,1300594729,0,0,0
106,34f,0.049216056,10.69784733,Corn,0N,Control,87,6.69456028,4.95E+06,8.754960345,5.69E+08,7.365551519,2.32E+07,8.84903323,7.06E+08,9.113400474,1.30E+09,0,0,0,1784373071,0,0,0
107,35f,0.019686422,9.39177277,Corn,0N,Carbon,87,6.75068692,5.63E+06,8.84460178,6.99E+08,7.423043954,2.65E+07,8.901606893,7.97E+08,9.182688771,1.52E+09,0,0,0,2582854498,0,0,0
108,36f,0.029529634,14.93012709,Corn,0N,Nitrogen,87,6.784457971,6.09E+06,8.686573896,4.86E+08,7.4875252,3.07E+07,8.804033413,6.37E+08,9.062018381,1.15E+09,0,0,0,1877908850,0,0,0
109,37b,0.124729045,6.623754334,Mxg,300N,Control,5,7.720583523,5.26E+07,9.326440658,2.12E+09,8.226983649,1.69E+08,8.872619326,7.46E+08,9.482152304,3.03E+09,32700000,49600000,33300000,3446046483,17714960.53,22986357.36,20653067.78
110,38b,0.102718037,4.295762754,Mxg,300N,Carbon,5,7.882265129,7.63E+07,9.400068192,2.51E+09,8.334335629,2.16E+08,8.889648736,7.76E+08,9.544544473,3.50E+09,66300000,55100000,52000000,3427922734,12393980.08,46699025.05,35348386.23
111,39b,0.154077056,7.268925211,Mxg,300N,Nitrogen,5,7.811805917,6.48E+07,9.374335598,2.37E+09,8.272006787,1.87E+08,8.90208478,7.98E+08,9.525429703,3.35E+09,44500000,70800000,64600000,3294571695,16298336.91,43432950.11,17070746.8
112,40b,-0.484242174,-0.252691927,Mxg,100N,Control,5,7.56986096,3.71E+07,9.272775247,1.87E+09,7.958564213,9.09E+07,8.802992324,6.35E+08,9.415014136,2.60E+09,19700000,53100000,22200000,2630077301,10508787.39,8084754.196,22885308.41
113,41b,0.066033024,2.021535414,Mxg,100N,Carbon,5,7.263921303,1.84E+07,9.238426636,1.73E+09,7.74981169,5.62E+07,8.780093924,6.03E+08,9.378473519,2.39E+09,0,14600000,14900000,2891430481,6373059.329,13536180.79,13603128.59
114,42b,0.183425066,6.790423477,Mxg,100N,Nitrogen,5,7.304708183,2.02E+07,9.239970472,1.74E+09,7.784387463,6.09E+07,8.748186028,5.60E+08,9.372644697,2.36E+09,0,24100000,17100000,2105992508,0,11148430.94,12309785.98
115,43b,0.058696021,6.709777117,Mxg,300N,Control,5,6.950607325,8.92E+06,8.863392144,7.30E+08,7.820322399,6.61E+07,8.391323752,2.46E+08,9.018057366,1.04E+09,15700000,0,21300000,1194815817,11620546.88,0,10773649.97
116,44b,0.293480106,-0.043011392,Mxg,300N,Carbon,5,7.01940317,1.05E+07,8.899128565,7.93E+08,7.90404153,8.02E+07,8.385229134,2.43E+08,9.047547634,1.12E+09,0,23600000,24200000,1684997918,0,13675869.33,6357613.114
117,45b,1.034517373,10.2259584,Mxg,300N,Nitrogen,5,6.716731704,5.21E+06,8.833072299,6.81E+08,7.713848945,5.17E+07,8.38971828,2.45E+08,8.990310919,9.78E+08,0,0,0,951409278,7085351.946,0,6395728.948
118,46b,-0.051359019,6.1452526,Mxg,100N,Control,5,6.889339607,7.75E+06,9.036341348,1.09E+09,7.852310886,7.12E+07,8.52372603,3.34E+08,9.173895843,1.49E+09,0,0,0,2616458834,5342965.576,13853545.57,10893240.69
119,47b,-0.022011008,3.414029222,Mxg,100N,Carbon,5,7.14208875,1.39E+07,9.034743433,1.08E+09,7.962521123,9.17E+07,8.545314548,3.51E+08,9.183561596,1.53E+09,22800000,21300000,16100000,2033611618,7618105.964,0,12286238.1
120,48b,0.058696021,10.62919019,Mxg,100N,Nitrogen,5,7.23162346,1.70E+07,9.037021256,1.09E+09,7.993678154,9.86E+07,8.546871514,3.52E+08,9.187465701,1.54E+09,17500000,0,21000000,1981003560,5247007.103,0,12226820.46
121,49b,0.086596597,0.359220088,Mxg,0N,Control,5,6.817218883,6.56E+06,8.799680569,6.30E+08,7.256064506,1.80E+07,8.36718565,2.33E+08,8.945190271,8.81E+08,0,0,0,869658358.9,0,0,0
122,50b,0.078724179,0.072814883,Mxg,0N,Carbon,5,6.703551549,5.05E+06,8.783190648,6.07E+08,7.244054387,1.75E+07,8.337403443,2.17E+08,8.925320232,8.42E+08,0,0,31600000,857877575.7,0,0,0
123,51b,0.14957594,4.849471189,Mxg,0N,Nitrogen,5,6.753741606,5.67E+06,8.73498124,5.43E+08,7.196207623,1.57E+07,8.272378325,1.87E+08,8.872837346,7.46E+08,0,0,13600000,535533379.7,0,0,0
124,52b,0.047234508,0.150484091,Mxg,0N,Control,5,6.336970059,2.17E+06,8.527593983,3.37E+08,7.070761166,1.18E+07,8.086610914,1.22E+08,8.672847771,4.71E+08,0,0,0,603910678,0,0,0
125,53b,0.102341433,-0.004854326,Mxg,0N,Carbon,5,6.398142298,2.50E+06,8.561864629,3.65E+08,7.153368679,1.42E+07,8.143136006,1.39E+08,8.714258016,5.18E+08,0,0,14200000,616295956.5,0,0,0
126,54b,0.007872418,3.762102274,Mxg,0N,Nitrogen,5,6.424628871,2.66E+06,8.474477757,2.98E+08,7.157779747,1.44E+07,8.041446107,1.10E+08,8.625902469,4.23E+08,0,0,20000000,535800566.8,0,0,0
127,55b,0.267662209,6.985374416,Mxg,300N,Control,5,7.460447616,2.89E+07,8.664808488,4.62E+08,8.082150059,1.21E+08,8.217352905,1.65E+08,8.873872865,7.48E+08,19500000,20500000,64500000,652852325,15224013.37,32147126.81,8423735.421
128,56b,0.314896717,3.912586365,Mxg,300N,Carbon,5,7.604610423,4.02E+07,8.852557354,7.12E+08,8.12961384,1.35E+08,8.382115896,2.41E+08,9.036612169,1.09E+09,27900000,40300000,33200000,648082521.5,25719965.73,21844547.08,11169464.74
129,57b,0.086596597,9.33001364,Mxg,300N,Nitrogen,5,7.631756837,4.28E+07,8.84428631,6.99E+08,8.156729874,1.43E+08,8.379331581,2.40E+08,9.034093551,1.08E+09,27300000,22200000,25700000,430806124.1,18047407.68,30299338.87,0
130,58b,0.031489672,3.645598462,Mxg,100N,Control,5,7.02481277,1.06E+07,8.696460545,4.97E+08,7.611036859,4.08E+07,8.235630668,1.72E+08,8.851255353,7.10E+08,17700000,25100000,18000000,429342445.6,0,0,0
131,59b,0.031489672,1.762120162,Mxg,100N,Carbon,5,6.950297375,8.92E+06,8.613825007,4.11E+08,7.521635874,3.32E+07,8.151082798,1.42E+08,8.767770522,5.86E+08,0,0,16200000,556637148.4,10853465.47,0,0
132,60b,0.070851761,7.732940545,Mxg,100N,Nitrogen,5,6.899249142,7.93E+06,8.520199389,3.31E+08,7.502054466,3.18E+07,8.047616541,1.12E+08,8.676367686,4.75E+08,0,0,13400000,538734781.4,0,0,0
133,61b,0.259789791,0.490286877,Mxg,0N,Control,5,6.651933779,4.49E+06,8.46643483,2.93E+08,7.211812596,1.63E+07,8.009029167,1.02E+08,8.613942085,4.11E+08,0,0,0,530215644.7,0,0,0
134,62b,0.157448358,0.077669208,Mxg,0N,Carbon,5,6.501914334,3.18E+06,8.503608363,3.19E+08,7.135318128,1.37E+07,8.049775001,1.12E+08,8.648033603,4.45E+08,0,0,0,604054364.3,0,0,0
135,63b,0.362131224,4.131031013,Mxg,0N,Nitrogen,5,6.872966252,7.46E+06,8.451731427,2.83E+08,7.519749752,3.31E+07,8.008459533,1.02E+08,8.621202431,4.18E+08,0,0,26600000,471687894.2,11143029.97,0,0
136,64b,0.070851761,5.228108579,Mxg,300N,Control,5,7.200283664,1.59E+07,8.600410899,3.98E+08,7.821483346,6.63E+07,8.152546167,1.42E+08,8.78309118,6.07E+08,14100000,16200000,18900000,406141874.2,0,0,0
137,65b,-0.007872418,2.529103593,Mxg,300N,Carbon,5,7.202113592,1.59E+07,8.584902784,3.85E+08,7.882434569,7.63E+07,8.144474264,1.39E+08,8.77833781,6.00E+08,9570000,17800000,0,366234763.7,0,0,7592812.38
138,66b,0.118086269,11.47077119,Mxg,300N,Nitrogen,5,7.235484693,1.72E+07,8.528715511,3.38E+08,7.892082009,7.80E+07,8.064611141,1.16E+08,8.725815382,5.32E+08,0,27000000,0,364655982,9948299.49,14906282.41,0
139,67b,0.157448358,0.072814883,Mxg,0N,Control,5,6.745044164,5.56E+06,8.751856625,5.65E+08,7.296111785,1.98E+07,8.30729999,2.03E+08,8.896213981,7.87E+08,0,0,12600000,514161545.9,0,0,0
140,68b,0.409365732,0.038834604,Mxg,0N,Carbon,5,6.714234133,5.18E+06,8.758206388,5.73E+08,7.282809291,1.92E+07,8.297312182,1.98E+08,8.897924815,7.91E+08,9960000,0,14900000,599601018.9,0,0,8666802.05
141,69b,0.259789791,2.407745455,Mxg,0N,Nitrogen,5,6.671291299,4.69E+06,8.75574092,5.70E+08,7.284939034,1.93E+07,8.307284733,2.03E+08,8.898724106,7.92E+08,10000000,0,0,548994027.4,0,14484250.08,0
142,70b,0.157448358,4.165011292,Mxg,100N,Control,5,7.36662303,2.33E+07,8.872465629,7.46E+08,7.926963289,8.45E+07,8.4258612,2.67E+08,9.040068936,1.10E+09,15100000,30900000,28700000,536720216.9,14144979.51,23334047.73,8040222.093
143,71b,0.37787606,1.927167229,Mxg,100N,Carbon,5,7.274523652,1.88E+07,8.7724731,5.92E+08,7.867855686,7.38E+07,8.305180023,2.02E+08,8.938466,8.68E+08,0,0,18800000,623422871.3,12275642.94,14084591.13,10926723.83
144,72b,0.22830012,6.519359166,Mxg,100N,Nitrogen,5,7.326585136,2.12E+07,8.726643998,5.33E+08,7.878943663,7.57E+07,8.238064268,1.73E+08,8.892972657,7.82E+08,11200000,22300000,20800000,574679346.2,0,0,0
145,37d,-0.018734522,8.289766443,Mxg,300N,Control,32,7.474849639,2.98E+07,9.187943948,1.54E+09,8.064959857,1.16E+08,8.935433245,8.62E+08,9.401312416,2.52E+09,9858708.096,0,40752114.16,5606003857,12699558.13,22797238.51,44155731.04
146,38d,0.009367261,7.055011367,Mxg,300N,Carbon,32,7.134184637,1.36E+07,8.795449116,6.24E+08,7.859036895,7.23E+07,8.559240143,3.62E+08,9.024939702,1.06E+09,0,0,12215409.58,4136663060,0,0,0
147,39d,0.065570827,12.10162444,Mxg,300N,Nitrogen,32,7.432730949,2.71E+07,9.150466507,1.41E+09,8.066928986,1.17E+08,8.865404207,7.34E+08,9.354919478,2.26E+09,11228293.85,14250813.33,28944023.09,4758695030,0,18881937.82,48248950.91
148,40d,0,7.43414778,Mxg,100N,Control,32,7.361732897,2.30E+07,9.129298175,1.35E+09,7.861713089,7.27E+07,8.861921133,7.28E+08,9.331864868,2.15E+09,9006887.991,15460746.16,19466199.82,3679725407,0,0,25128695.46
149,41d,-0.009367261,5.599947294,Mxg,100N,Carbon,32,7.428401665,2.68E+07,9.278525325,1.90E+09,7.939124993,8.69E+07,9.022257995,1.05E+09,9.482660615,3.04E+09,9707807.297,8160585.234,45379310.86,5609803832,18524616.04,13102741.87,61713256.43
150,42d,-0.028101783,10.80026432,Mxg,100N,Nitrogen,32,7.488959595,3.08E+07,9.217506524,1.65E+09,8.034718547,1.08E+08,8.986164564,9.69E+08,9.435693592,2.73E+09,13580491.27,18937479.25,39839582.26,4984112404,14837149.83,13053099.74,36306654.93
151,43d,0.018734522,6.76297386,Mxg,300N,Control,32,6.940209288,8.71E+06,8.899602029,7.94E+08,7.986080811,9.68E+07,8.615658761,4.13E+08,9.115000929,1.30E+09,6157931.284,9161593.97,39311514.2,2927888150,6923716.902,22578614.76,29728680.87
152,44d,0.177977959,0.399630274,Mxg,300N,Carbon,32,7.109580186,1.29E+07,8.961820713,9.16E+08,8.095285541,1.25E+08,8.702307147,5.04E+08,9.18871268,1.54E+09,5487244.817,13272353.61,31611527.67,3436669819,17524815.74,21772396.97,33404022.34
153,45d,0.318486875,9.61674389,Mxg,300N,Nitrogen,32,6.767410961,5.85E+06,8.758902777,5.74E+08,7.892764051,7.81E+07,8.49452349,3.12E+08,8.984245227,9.64E+08,6748279.399,0,25460045.69,1874440701,0,15973438.81,23710824.77
154,46d,-0.149876176,7.244579574,Mxg,100N,Control,32,6.829388955,6.75E+06,8.897795496,7.90E+08,7.867954161,7.38E+07,8.613913903,4.11E+08,9.105563745,1.28E+09,0,0,9736692.501,2551627978,5775692.655,0,12718799.94
155,47d,-0.168610698,4.483031914,Mxg,100N,Carbon,32,7.074011513,1.19E+07,9.072728014,1.18E+09,7.887419048,7.72E+07,8.813295671,6.51E+08,9.281042031,1.91E+09,0,9492925.729,16436728.25,3853273624,0,20627292.79,25520645.83
156,48d,-0.177977959,12.80353915,Mxg,100N,Nitrogen,32,7.017605419,1.04E+07,8.934937544,8.61E+08,8.038507048,1.09E+08,8.685112358,4.84E+08,9.162695548,1.45E+09,4704590.401,0,13714587.03,2909938818,0,9122921.899,24936628.22
157,49d,-0.104597304,4.441778273,Mxg,0N,Control,32,7.123225389,1.33E+07,9.20463242,1.60E+09,7.624605362,4.21E+07,8.839631233,6.91E+08,9.368336008,2.34E+09,13875991.21,0,0,4877906558,0,0,20569696.11
158,50d,-0.171159224,3.094272505,Mxg,0N,Carbon,32,7.201890153,1.59E+07,9.292755355,1.96E+09,7.720853597,5.26E+07,8.871876185,7.45E+08,9.440808093,2.76E+09,12124078.42,0,8533645.08,6451642218,0,0,41673859.77
159,51d,-0.171159224,8.024036407,Mxg,0N,Nitrogen,32,7.219326979,1.66E+07,9.303101325,2.01E+09,7.741367959,5.51E+07,8.907140576,8.07E+08,9.458212475,2.87E+09,8522720.829,0,0,6970358106,22600238.12,0,68928673.92
160,52d,0.275756528,0.27171927,Mxg,0N,Control,32,6.936743438,8.64E+06,9.161289063,1.45E+09,7.716249496,5.20E+07,8.76635009,5.84E+08,9.319248002,2.09E+09,0,0,9216441.015,5782446029,0,28406824.02,106444769.5
161,53d,0.323300757,0.133086989,Mxg,0N,Carbon,32,6.918778584,8.29E+06,9.236295306,1.72E+09,7.716870179,5.21E+07,8.869038497,7.40E+08,9.400505959,2.51E+09,8985978.944,0,10551601.96,5428244503,16637191.39,0,75433476.55
162,54d,-0.076070766,7.203333305,Mxg,0N,Nitrogen,32,6.915251899,8.23E+06,9.149961651,1.41E+09,7.629347079,4.26E+07,8.771227319,5.91E+08,9.310803045,2.05E+09,0,0,8570609.528,3987987771,0,0,25754058.33
163,55d,-0.085579612,9.044369993,Mxg,300N,Control,32,7.554605228,3.59E+07,9.232053747,1.71E+09,8.157158142,1.44E+08,8.881211544,7.61E+08,9.416738917,2.61E+09,13342266.91,47650526.42,11382099.34,5201311423,0,52150459.65,91209768.8
164,56d,0,4.841039242,Mxg,300N,Carbon,32,7.518814142,3.30E+07,9.221982331,1.67E+09,8.084064291,1.21E+08,8.814701121,6.53E+08,9.387606467,2.44E+09,27197143.34,44861659.98,10655502.73,4761828338,11709239.43,52030257.64,36987365.54
165,57d,-0.057053075,12.59335638,Mxg,300N,Nitrogen,32,7.580433643,3.81E+07,9.252629004,1.79E+09,8.169510221,1.48E+08,8.8505552,7.09E+08,9.422536068,2.65E+09,23061528.3,0,19251715.07,3814571475,17773324.63,59198455.77,61214406.19
166,58d,-0.237721145,4.957490358,Mxg,100N,Control,32,6.322760898,2.10E+06,8.483709491,3.05E+08,7.435414429,2.73E+07,8.020839118,1.05E+08,8.640236955,4.37E+08,0,0,0,731171573.3,0,0,0
167,59d,-0.11410615,3.83734153,Mxg,100N,Carbon,32,7.425981788,2.67E+07,9.231108652,1.70E+09,8.021483278,1.05E+08,8.843052892,6.97E+08,9.39869795,2.50E+09,19305763.67,23892914.98,11777205.9,4575367968,0,28545294.16,21888919.75
168,60d,-0.095088458,10.1146112,Mxg,100N,Nitrogen,32,7.310264237,2.04E+07,9.153632456,1.42E+09,7.94379861,8.79E+07,8.739790869,5.49E+08,9.314191643,2.06E+09,10582563.58,23421286.71,7258975.885,3734264208,0,0,38103179.08
169,61d,-0.009508846,1.125694119,Mxg,0N,Control,32,6.794665502,6.23E+06,9.06308535,1.16E+09,7.415810762,2.61E+07,8.673232482,4.71E+08,9.218435497,1.65E+09,0,0,0,3939664248,0,0,67301456.93
170,62d,0.028526537,0.482440337,Mxg,0N,Carbon,32,6.393712068,2.48E+06,8.780564752,6.03E+08,7.212374869,1.63E+07,8.331235971,2.14E+08,8.921195321,8.34E+08,0,0,0,1763426601,0,0,30128805.96
171,63d,-0.038035383,5.306843705,Mxg,0N,Nitrogen,32,7.071299118,1.18E+07,9.20324781,1.60E+09,7.712745526,5.16E+07,8.781066991,6.04E+08,9.352653849,2.25E+09,8968801.32,23638755.78,0,4395862937,0,0,58051256.57
172,64d,-0.199685762,8.146032814,Mxg,300N,Control,32,7.535245713,3.43E+07,9.121516671,1.32E+09,8.229329079,1.70E+08,8.676788794,4.75E+08,9.293922426,1.97E+09,30601124.36,62351228.08,22152288.97,4316094572,30753005.91,86055096.66,108549455.7
173,65d,-0.190176916,5.672832926,Mxg,300N,Carbon,32,7.536305264,3.44E+07,9.118641987,1.31E+09,8.218595487,1.65E+08,8.725012984,5.31E+08,9.30329635,2.01E+09,17809207.3,71723311.19,23532929.45,4385457137,16025445.77,0,100875943.5
174,66d,-0.076070766,12.35490886,Mxg,300N,Nitrogen,32,7.550789458,3.55E+07,9.128393366,1.34E+09,8.267377833,1.85E+08,8.692097236,4.92E+08,9.305613428,2.02E+09,0,42599111.44,13923840.01,3840449858,21483931.9,77361672.9,84492580.71
175,67d,-0.009508846,0.565619705,Mxg,0N,Control,32,6.904223674,8.02E+06,9.341025064,2.19E+09,7.550641187,3.55E+07,8.863154607,7.30E+08,9.471024962,2.96E+09,0,0,0,5008797569,0,0,38490974.72
176,68d,0.152141533,0.670980239,Mxg,0N,Carbon,32,6.879647348,7.58E+06,9.279090429,1.90E+09,7.499168478,3.16E+07,8.845990326,7.01E+08,9.420694267,2.63E+09,0,0,11229566.77,4885833883,0,0,34141761.07
177,69d,0.076070766,3.022183719,Mxg,0N,Nitrogen,32,6.986275021,9.69E+06,9.283612747,1.92E+09,7.59658039,3.95E+07,8.903520899,8.01E+08,9.441171837,2.76E+09,0,0,0,4769666686,0,0,80846614.34
178,70d,-0.057053075,5.517564772,Mxg,100N,Control,32,7.463763848,2.91E+07,9.339457876,2.19E+09,8.094750838,1.24E+08,8.909611603,8.12E+08,9.494365616,3.12E+09,13419304.99,0,19442196.71,5566299607,0,42454106.91,67362693.5
179,71d,0.038035383,4.713497544,Mxg,100N,Carbon,32,7.247964352,1.77E+07,9.151912448,1.42E+09,7.889604584,7.76E+07,8.727807461,5.34E+08,9.307635709,2.03E+09,0,0,9006344.55,3233968431,22392305.88,0,42913166.88
180,72d,-0.057053075,9.970433628,Mxg,100N,Nitrogen,32,7.394719526,2.48E+07,9.225438017,1.68E+09,8.021842998,1.05E+08,8.800484978,6.32E+08,9.383333887,2.42E+09,12186794.96,19706873.29,9340429.072,3948418977,0,0,22190357.4
181,37f,0.127961746,16.69980827,Mxg,300N,Control,87,7.580045302,3.80E+07,8.972688844,9.39E+08,8.496340104,3.14E+08,8.433009978,2.71E+08,9.182885132,1.52E+09,61289346.52,64731572.41,61143677.9,1544713092,18512686.21,0,11774608.8
182,38f,0.049216056,15.98695078,Mxg,300N,Carbon,87,4.958561963,9.09E+04,6.668836089,4.66E+06,6.761431785,5.77E+06,6.167698395,1.47E+06,7.075894443,1.19E+07,0,0,0,0,0,0,0
183,39f,0,16.09163615,Mxg,300N,Nitrogen,87,7.644860018,4.41E+07,9.093079959,1.24E+09,8.550328701,3.55E+08,8.51573945,3.28E+08,9.283754567,1.92E+09,17887706.66,91823856.5,62012628.13,2475303866,30293595.45,33678448,25074209.13
184,40f,-0.019686422,16.09662116,Mxg,100N,Control,87,7.263664635,1.84E+07,9.008709764,1.02E+09,8.243765053,1.75E+08,8.414866218,2.60E+08,9.163008179,1.46E+09,33579771.25,40119040.61,84408759.45,2175229624,40246359.88,64719156.68,10288552.42
185,41f,0.07874569,13.42963686,Mxg,100N,Carbon,87,7.152365035,1.42E+07,9.021127408,1.05E+09,8.163256956,1.46E+08,8.453224299,2.84E+08,9.17009176,1.48E+09,0,24285729.27,54668973.66,2272670190,23494731.27,38356144.33,14107404.49
186,42f,0.137804957,15.92713057,Mxg,100N,Nitrogen,87,7.086990113,1.22E+07,8.971183809,9.36E+08,8.125564168,1.34E+08,8.367075102,2.33E+08,9.114669863,1.30E+09,0,0,34220788.42,1781542719,0,0,15893076.12
187,43f,0.118118535,6.241241777,Mxg,300N,Control,87,6.122581773,1.33E+06,8.410650544,2.57E+08,7.812049334,6.49E+07,7.851234069,7.10E+07,8.594714823,3.93E+08,0,0,0,612582566,0,0,0
188,44f,0.009843211,8.20533863,Mxg,300N,Carbon,87,6.008590701,1.02E+06,8.375930373,2.38E+08,7.778613225,6.01E+07,7.783635134,6.08E+07,8.554455498,3.58E+08,0,0,0,574320200.7,0,0,0
189,45f,0.167334591,10.70781736,Mxg,300N,Nitrogen,87,5.914146291,8.21E+05,8.242374466,1.75E+08,7.577746575,3.78E+07,7.652118398,4.49E+07,8.410679009,2.57E+08,0,0,0,316309263.8,0,0,0
190,46f,-0.147648169,8.100653265,Mxg,100N,Control,87,5.747806343,5.60E+05,7.913823506,8.20E+07,7.620206826,4.17E+07,7.380789025,2.40E+07,8.169499768,1.48E+08,0,0,0,391466095.1,0,0,0
191,47f,0.23623707,0.299101044,Mxg,100N,Carbon,87,6.49564772,3.13E+06,8.637260681,4.34E+08,7.902360317,7.99E+07,8.053644479,1.13E+08,8.79711807,6.27E+08,0,0,20307767.59,1085856278,0,0,0
192,48f,-0.177177802,9.775619109,Mxg,100N,Nitrogen,87,6.899924346,7.94E+06,9.004434206,1.01E+09,7.862542243,7.29E+07,8.411130079,2.58E+08,9.127377163,1.34E+09,0,31102718.59,17972405.28,2179085858,0,0,0
193,49f,0.033313761,9.236052221,Mxg,0N,Control,87,6.149353348,1.41E+06,8.34242653,2.20E+08,7.577649149,3.78E+07,7.950211073,8.92E+07,8.540309535,3.47E+08,0,0,18569031.82,675376336,0,0,0
194,50f,0.122150459,9.48936167,Mxg,0N,Carbon,87,6.646421049,4.43E+06,8.86694419,7.36E+08,7.642253848,4.39E+07,8.437909249,2.74E+08,9.022878245,1.05E+09,0,19515368.3,31203583.2,1877560109,0,0,11700378.23
195,51f,0.033313761,15.93900995,Mxg,0N,Nitrogen,87,6.599436569,3.98E+06,8.775832366,5.97E+08,7.613708226,4.11E+07,8.334650743,2.16E+08,8.931452906,8.54E+08,0,0,22826806.79,1508056315,0,0,14345900.52
196,52f,1.243713761,0.077941369,Mxg,0N,Control,87,6.498080646,3.15E+06,8.74514936,5.56E+08,7.696780013,4.97E+07,8.301593531,2.00E+08,8.906390894,8.06E+08,0,0,43226912.37,1609322681,0,0,15318898.95
197,53f,1.388073394,0.136397396,Mxg,0N,Carbon,87,6.508029646,3.22E+06,8.748215707,5.60E+08,7.745780932,5.57E+07,8.352570617,2.25E+08,8.924758465,8.41E+08,12137735.78,0,30223132.49,1750259140,0,0,9800162.25
198,54f,0.255405505,5.226943056,Mxg,0N,Nitrogen,87,6.445735007,2.79E+06,8.651568361,4.48E+08,7.684056522,4.83E+07,8.285701235,1.93E+08,8.838644955,6.90E+08,0,0,32085144.26,1486549640,0,0,7275062.172
199,55f,0.299823853,14.77963209,Mxg,300N,Control,87,7.722117155,5.27E+07,8.920507371,8.33E+08,8.618340429,4.15E+08,8.495198987,3.13E+08,9.19333799,1.56E+09,66013673.33,131887079.1,68969007.4,1676593538,54488187.6,53495303.61,21040472.61
200,56f,0.255405505,13.29387474,Mxg,300N,Carbon,87,7.795915055,6.25E+07,9.02464614,1.06E+09,8.660939883,4.58E+08,8.586960107,3.86E+08,9.279393363,1.90E+09,99463612.72,133431744.1,89936156.61,2287316704,54969195.68,65389124.79,28426172.48
201,57f,0.044418349,16.36281615,Mxg,300N,Nitrogen,87,7.703813557,5.06E+07,8.988960676,9.75E+08,8.575282516,3.76E+08,8.564271555,3.67E+08,9.2349347,1.72E+09,57963313.39,107749082.2,52435551.74,2002607463,23347404.82,56384587.93,17963929.99
202,58f,0.055522936,10.931277,Mxg,100N,Control,87,6.765398299,5.83E+06,8.75551071,5.70E+08,7.827831619,6.73E+07,8.342110936,2.20E+08,8.932796314,8.57E+08,0,0,24729297.02,1340475455,0,0,0
203,59f,0.033313761,10.20057666,Mxg,100N,Carbon,87,7.098133919,1.25E+07,8.762603282,5.79E+08,8.120062811,1.32E+08,8.322234727,2.10E+08,8.964142599,9.21E+08,15108022.69,39805872.9,19614947.72,1614011235,18006113.08,19234417.81,0
204,60f,0.088836697,14.82834544,Mxg,100N,Nitrogen,87,7.041054402,1.10E+07,8.763878326,5.81E+08,8.114855636,1.30E+08,8.334672292,2.16E+08,8.967072152,9.27E+08,15988841.05,0,13077701.86,1449600428,0,0,0
205,61f,0.133255046,9.416291637,Mxg,0N,Control,87,6.765464324,5.83E+06,8.779258422,6.02E+08,7.814475175,6.52E+07,8.405825791,2.55E+08,8.964423049,9.21E+08,0,0,45921994.72,1774918420,0,10362940.48,0
206,62f,0.15546422,7.506728098,Mxg,0N,Carbon,87,6.756363305,5.71E+06,8.827058107,6.72E+08,7.82140935,6.63E+07,8.397004466,2.49E+08,8.994433666,9.87E+08,0,0,26857936.9,2034650531,0,0,0
207,63f,0.222091743,10.27851803,Mxg,0N,Nitrogen,87,6.857952315,7.21E+06,8.916093475,8.24E+08,7.804363278,6.37E+07,8.469786294,2.95E+08,9.07299359,1.18E+09,0,0,42476589.07,2155520078,0,0,11511557.69
208,64f,0.099941284,6.722443072,Mxg,300N,Control,87,7.363957499,2.31E+07,8.723511338,5.29E+08,8.407442142,2.56E+08,8.281653556,1.91E+08,8.98939237,9.76E+08,39884047.93,39886649.83,29902077.96,1340567181,0,20491235.54,15920505.61
209,65f,0.033313761,9.162982188,Mxg,300N,Carbon,87,7.321595427,2.10E+07,8.737400133,5.46E+08,8.418774398,2.62E+08,8.338949285,2.18E+08,9.01148332,1.03E+09,31935717.56,27536353.28,26827120.08,1495811868,16624495.99,28484786.97,0
210,66f,0.099941284,12.59727376,Mxg,300N,Nitrogen,87,7.216776106,1.65E+07,8.64264272,4.39E+08,8.293166868,1.96E+08,8.235192804,1.72E+08,8.907120355,8.07E+08,19516958.78,0,32531741.57,1264961325,0,9890985.371,10721654.39
211,67f,0.066627523,6.478876294,Mxg,0N,Control,87,6.54731168,3.53E+06,8.933842492,8.59E+08,7.644093124,4.41E+07,8.46087279,2.89E+08,9.076185269,1.19E+09,0,0,27064190.34,2775063265,0,0,0
