"crop_T1","fert_T1","doe_T1","unique_soil_T1","Cntrl_CO2_flux_ug_g_d","Cntrl_CO2_flux_ug_g_d_glu","Cntrl_CO2_flux_ug_g_d_soil","Cntrl_cum_CO2_flux_ug_g","Cntrl_cum_CO2_flux_ug_g_glu","Cntrl_cum_CO2_flux_ug_g_soil","glucose_CO2_flux_ug_g_d","glucose_CO2_flux_ug_g_d_glu","glucose_CO2_flux_ug_g_d_soil","glucose_cum_CO2_flux_ug_g","glucose_cum_CO2_flux_ug_g_glu","glucose_cum_CO2_flux_ug_g_soil","priming_CO2_flux_ug_g_d","priming_cum_CO2_flux_ug_g_soil","relativePE_cum_CO2_flux_ug_g_soil"
"Corn","0N",5,1,27.6819591995569,NA,27.6819591995569,138.409795997785,NA,138.409795997785,33.1976842763904,7.79664228169451,25.4010419946959,165.988421381952,38.9832114084725,127.005209973479,-2.28091720486107,-11.4045860243053,-11.4045860243053
"Corn","0N",5,3,16.1603029450309,NA,16.1603029450309,80.8015147251547,NA,80.8015147251547,20.3472206269804,4.86648150260535,15.4807391243751,101.736103134902,24.3324075130268,77.4036956218754,-0.679563820655851,-3.39781910327926,-3.39781910327926
"Corn","0N",5,10,26.9727571072868,NA,26.9727571072868,134.863785536434,NA,134.863785536434,21.560254671306,5.35028523470081,16.2099694366052,107.80127335653,26.751426173504,81.0498471830259,-10.7627876706816,-53.8139383534079,-53.8139383534079
"Corn","0N",5,12,26.3226235921768,NA,26.3226235921768,131.613117960884,NA,131.613117960884,27.8751188861077,5.0106282236175,22.8644906624902,139.375594430538,25.0531411180875,114.322453312451,-3.4581329296866,-17.290664648433,-17.290664648433
"Corn","0N",10,1,25.9555225655093,NA,25.9555225655093,268.187408825331,NA,268.187408825331,28.4243140200475,4.27561836019286,24.1486956598547,308.10999148219,60.3613032094369,247.748688272753,-1.80682690565462,-20.4387205525784,-20.4387205525784
"Corn","0N",10,3,16.8618650551776,NA,16.8618650551776,165.110840001043,NA,165.110840001043,21.0697077174865,3.47232118626159,17.597386531225,207.084641722335,41.6940134443347,165.390628278,0.735521476047303,0.279788276957248,0.279788276957248
"Corn","0N",10,10,26.0210279574735,NA,26.0210279574735,264.968925323801,NA,264.968925323801,21.1620527796961,2.81013439936042,18.3519183803357,213.61153725501,40.8020981703061,172.809439084704,-7.66910957713788,-92.1594862390973,-92.1594862390973
"Corn","0N",10,12,25.8037742391769,NA,25.8037742391769,260.631989156769,NA,260.631989156769,28.9482175948191,3.42280157632554,25.5254160184935,284.116682404634,42.1671489997152,241.949533404919,-0.278358220683394,-18.6824557518499,-18.6824557518499
"Corn","0N",16,1,28.8952083558885,NA,28.8952083558885,441.558658960662,NA,441.558658960662,37.9971496591041,4.84946298865816,33.1476866704459,536.092889436814,89.4580811413858,446.634808295428,4.25247831455744,5.07614933476623,5.07614933476623
"Corn","0N",16,3,16.0986448544122,NA,16.0986448544122,261.702709127516,NA,261.702709127516,25.5397954323966,4.15720928606284,21.3825861463338,360.323414316715,66.6372691607118,293.686145156003,5.28394129192156,31.9834360284866,31.9834360284866
"Corn","0N",16,10,22.4250796716635,NA,22.4250796716635,399.519403353782,NA,399.519403353782,24.5243421315098,3.04374000697573,21.480602124534,360.757590044069,59.0645382121605,301.693051831909,-0.944477547129413,-97.8263515218737,-97.8263515218737
"Corn","0N",16,12,25.9418377296048,NA,25.9418377296048,416.283015534397,NA,416.283015534397,30.5659287714342,3.11660036772593,27.4493284037083,467.512255033239,60.8667512060708,406.645503827169,1.50749067410349,-9.63751170722895,-9.63751170722895
"Corn","0N",24,1,34.2075675820718,NA,34.2075675820718,715.219199617236,NA,715.219199617236,38.671487429132,3.82357188220244,34.8479155469296,845.46478886987,120.046656199005,725.418132670865,0.640347964857831,10.1989330536289,10.1989330536289
"Corn","0N",24,3,15.7602896945163,NA,15.7602896945163,387.785026683647,NA,387.785026683647,22.7644952880361,2.78674263263899,19.9777526553971,542.439376621003,88.9312102218236,453.50816639918,4.21746296088078,65.7231397155328,65.7231397155328
"Corn","0N",24,10,31.3585449667871,NA,31.3585449667871,650.387763088079,NA,650.387763088079,33.6144817459791,3.56458271215455,30.0498990338246,629.673444011902,87.5811999093969,542.092244102505,-1.3086459329625,-108.295518985574,-108.295518985574
"Corn","0N",24,12,29.3020263669744,NA,29.3020263669744,650.699226470193,NA,650.699226470193,32.827571058437,2.66761173678091,30.1599593216561,730.132823500735,82.207645100318,647.925178400417,0.857932954681655,-2.77404806977586,-2.77404806977586
"Corn","0N",31,1,41.3781325219954,NA,41.3781325219954,1004.8661272712,NA,1004.8661272712,44.7716195026553,2.62044542764629,42.151174075009,1158.86612538846,138.389774192529,1020.47635119593,0.773041553013648,15.6102239247243,15.6102239247243
"Corn","0N",31,3,15.9968215788772,NA,15.9968215788772,499.762777735787,NA,499.762777735787,22.9467933559114,2.15390155543816,20.7928918004732,703.066930112383,104.008521109891,599.058409002492,4.79607022159604,99.2956312667051,99.2956312667051
"Corn","0N",31,10,32.4595591942052,NA,32.4595591942052,877.604677447515,NA,877.604677447515,34.1106442938588,3.10834097744091,31.0023033164179,868.447954068914,109.339586751483,759.108367317431,-1.45725587778728,-118.496310130085,-118.496310130085
"Corn","0N",31,12,28.3233820381939,NA,28.3233820381939,848.96290073755,NA,848.96290073755,29.5889413297436,1.87445164607235,27.7144896836713,937.25541280894,95.3288066228244,841.926606186116,-0.608892354522649,-7.03629455143437,-7.03629455143437
"Corn","0N",38,1,27.4408854504746,NA,27.4408854504746,1196.95232542453,NA,1196.95232542453,38.6606423653876,2.64804033359296,36.0126020317946,1429.49062194617,156.92605652768,1272.56456541849,8.57171658132005,75.6122399939647,75.6122399939647
"Corn","0N",38,3,13.4766666250931,NA,13.4766666250931,594.099444111439,NA,594.099444111439,17.5802855853595,1.44753527347956,16.1327503118799,826.128929209899,114.141268024248,711.987661185652,2.6560836867868,117.888217074213,117.888217074213
