"sample","Temp_C_Avg.1_T0","TIMESTAMP_T0","CO2_calc_T0","delta13C_calc_T0","time_T0","date_T0","doe_T0","sampling_id_T0","event_id_T0","event","crop_T0","fert_T0","addition_T0","dry_weight_g_T0","unique_soil_T0","CO2C_ug_g_T0","Temp_C_Avg.1_T1","TIMESTAMP_T1","CO2_calc_T1","delta13C_calc_T1","time_T1","date_T1","doe_T1","sampling_id_T1","event_id_T1","crop_T1","fert_T1","addition_T1","dry_weight_g_T1","unique_soil_T1","CO2C_ug_g_T1","CO2_flux_ug_g","sample_date","time_dif","CO2_flux_ug_g_d","diff.day","CO2_flux_ug_g_int","cum_CO2_flux_ug_g","atom_percent13C_calc_T1","atom_percent13C_calc_T0","soil_atom_percent13C","soil_Rsample","soil_delta13C","pglu","psoil","CO2_flux_ug_g_d_glu","CO2_flux_ug_g_int_glu","cum_CO2_flux_ug_g_glu","cum_pglu","CO2_flux_ug_g_d_soil","cum_CO2_flux_ug_g_soil","cum_psoil"
14,22.14631,"1/16/21 12:02",463.679694526759,193.485808668725,2021-01-16 12:02:00,2021-01-16,4,3,1.5,2,"Corn","336N","+C",10.86366784,5,9.84115980658975,22.26009,"1/17/21 12:28",1578.06607968211,27301.4793059121,2021-01-17 12:28:00,2021-01-17,5,4,2,"Corn","336N","+C",10.86366784,5,33.4800491194051,23.6388893128154,"14 2021-01-16",24.4333333333333,23.2196457097231,5,116.098228548616,116.098228548616,24.0363457298311,1.3167824138311,33.4947788385083,0.503641342041017,44047.2117958389,33.0962509683248,66.9037490316752,7.68483221804582,38.4241610902291,38.4241610902291,33.0962509683248,15.5348134916773,77.6740674583865,66.9037490316752
15,22.15668,"1/16/21 12:04",449.947979523415,5.82213812637611,2021-01-16 12:04:00,2021-01-16,4,3,1.5,2,"Corn","336N","+N",10.86366784,5,9.54938188851205,22.28014,"1/17/21 12:29",1086.28022044831,151.409047286381,2021-01-17 12:29:00,2021-01-17,5,4,2,"Corn","336N","+N",10.86366784,5,23.0448188231306,13.4954369346185,"15 2021-01-16",24.4166666666667,13.2651393760073,5,66.3256968800365,66.3256968800365,1.2709488078549,1.11203406472323,1.38339700625198,0.0140280334574055,254.709932417335,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,22.2421,"1/16/21 12:05",464.586623421065,-5.18728977849781,2021-01-16 12:05:00,2021-01-16,4,3,1.5,2,"Corn","336N","Cntrl",10.99458877,6,9.73983365929637,22.17551,"1/17/21 12:32",1116.67274281116,-6.23847207618211,2021-01-17 12:32:00,2021-01-17,5,4,2,"Corn","336N","Cntrl",10.99458877,6,23.4157820860043,13.675948426708,"16 2021-01-16",24.45,13.4242438544373,5,67.1212192721864,67.1212192721864,1.09884641086504,1.09999596429677,1.09802771377302,0.0111021821748436,-6.98709561965649,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,22.29641,"1/16/21 12:07",463.967456657812,172.227107808227,2021-01-16 12:07:00,2021-01-16,4,3,1.5,2,"Corn","336N","+C",10.99458877,6,9.72506510342435,22.1264,"1/17/21 12:33",1634.70280965178,24466.1771029032,2021-01-17 12:33:00,2021-01-17,5,4,2,"Corn","336N","+C",10.99458877,6,34.2841815883083,24.559116484884,"17 2021-01-16",24.4333333333333,24.1235523453158,5,120.617761726579,120.617761726579,22.1619972214807,1.2936309393476,30.4255770949977,0.437309801858381,38114.3173133441,29.9615221706129,70.0384778293871,7.22778348428121,36.138917421406,36.138917421406,29.9615221706129,16.8957688610346,84.478844305173,70.0384778293871
18,22.21934,"1/16/21 12:09",457.591093521646,-1.13277284144631,2021-01-16 12:09:00,2021-01-16,4,3,1.5,2,"Corn","336N","+N",10.99458877,6,9.59391497381136,22.03263,"1/17/21 12:35",1041.02290297475,3.70800257139736,2021-01-17 12:35:00,2021-01-17,5,4,2,"Corn","336N","+N",10.99458877,6,21.8400285302878,12.2461135564765,"18 2021-01-16",24.4333333333333,12.0289246393766,5,60.1446231968831,60.1446231968831,1.10972262098956,1.10442965838513,1.11386926171376,0.0112641606400977,7.5007504358322,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,22.11957,"1/16/21 12:12",467.801871027095,-6.45318321550392,2021-01-16 12:12:00,2021-01-16,4,3,1.5,2,"Corn","112N","Cntrl",10.92691741,7,9.87207184759411,22.00651,"1/17/21 12:35",1233.67304969546,-8.75620001943922,2021-01-17 12:35:00,2021-01-17,5,4,2,"Corn","112N","Cntrl",10.92691741,7,26.0443039693304,16.1722321217363,"19 2021-01-16",24.3833333333333,15.9179865039646,5,79.5899325198232,79.5899325198232,1.09609296170282,1.09861160346532,1.09455549846023,0.0110666860047648,-10.1619809160036,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,22.03077,"1/16/21 12:14",463.035200521032,75.4919724289551,2021-01-16 12:14:00,2021-01-16,4,3,1.5,2,"Corn","112N","+C",10.92691741,7,9.77441988086683,21.93755,"1/17/21 12:37",1533.93533178679,20236.7125635313,2021-01-17 12:37:00,2021-01-17,5,4,2,"Corn","112N","+C",10.92691741,7,32.390765263765,22.6163453828982,"20 2021-01-16",24.3833333333333,22.2607910809114,5,111.303955404557,111.303955404557,19.1875319711269,1.18814564307101,26.9665765775728,0.369236101963855,32025.5987731864,26.4286724463488,73.5713275536512,5.8832315587401,29.4161577937005,29.4161577937005,26.4286724463488,16.3775595221713,81.8877976108564,73.5713275536512
21,22.04654,"1/16/21 12:15",456.841034218924,-6.98175271811374,2021-01-16 12:15:00,2021-01-16,4,3,1.5,2,"Corn","112N","+N",10.92691741,7,9.64314923321165,21.96249,"1/17/21 12:38",980.7988312296,158.387390480542,2021-01-17 12:38:00,2021-01-17,5,4,2,"Corn","112N","+N",10.92691741,7,20.7089172972334,11.0657680640218,"21 2021-01-16",24.3833333333333,10.8918017855033,5,54.4590089275165,54.4590089275165,1.27855316063361,1.09803355683519,1.43586510399598,0.0145678253607255,302.99056024664,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22.04004,"1/16/21 12:18",464.566340485538,2.52911972045533,2021-01-16 12:18:00,2021-01-16,4,3,1.5,2,"Corn","336N","Cntrl",10.32616007,8,10.3769540258691,21.93931,"1/17/21 12:39",1498.26101399348,53.4970139880675,2021-01-17 12:39:00,2021-01-17,5,4,2,"Corn","336N","Cntrl",10.32616007,8,33.47787274343,23.1009187175609,"22 2021-01-16",24.35,22.7688726579655,5,113.844363289828,113.844363289828,1.16412966693577,1.10843366835672,1.18914836094296,0.0120345927721255,76.410541052164,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,21.94008,"1/16/21 12:20",473.035278148188,872.31196605454,2021-01-16 12:20:00,2021-01-16,4,3,1.5,2,"Corn","336N","+C",10.32616007,8,10.5697027250288,21.9166,"1/17/21 12:40",1817.7421870736,25680.1905025611,2021-01-17 12:40:00,2021-01-17,5,4,2,"Corn","336N","+C",10.32616007,8,40.6196415249961,30.0499387999673,"23 2021-01-16",24.3333333333333,29.6382958027074,5,148.191479013537,148.191479013537,22.9757567029438,2.05038031681069,30.336004897892,0.435461745388387,37949.0215279006,29.8700376188609,70.1299623811391,8.85297010585797,44.2648505292899,44.2648505292899,29.8700376188609,20.7853256968495,103.926628484247,70.1299623811391
24,21.95951,"1/16/21 12:21",470.402954743019,-10.1163750730428,2021-01-16 12:21:00,2021-01-16,4,3,1.5,2,"Corn","336N","+N",10.32616007,8,10.5101929278632,21.92112,"1/17/21 12:41",1451.76328965261,8.07150801182077,2021-01-17 12:41:00,2021-01-17,5,4,2,"Corn","336N","+N",10.32616007,8,32.4409047113618,21.9307117834986,"24 2021-01-16",24.3333333333333,21.6302910741356,5,108.151455370678,108.151455370678,1.11449324530513,1.09460537704514,1.12402441485402,0.0113680235082593,16.7905609204881,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,22.20005,"1/16/21 12:34",526.443523001537,6.20834789995328,2021-01-16 12:34:00,2021-01-16,4,3,1.5,2,"Corn","336N","Cntrl",10.18043625,9,11.9209551609114,21.87403,"1/17/21 12:45",1631.59688406293,20.4635431665536,2021-01-17 12:45:00,2021-01-17,5,4,2,"Corn","336N","Cntrl",10.18043625,9,36.9872286856613,25.0662735247499,"25 2021-01-16",24.1833333333333,24.8762466406891,5,124.381233203446,124.381233203446,1.12803895879587,1.1124563070347,1.13544971703042,0.0114849024628195,27.2445697181238,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,22.08621,"1/16/21 12:36",464.297530221584,836.6053770811,2021-01-16 12:36:00,2021-01-16,4,3,1.5,2,"Corn","336N","+C",10.18043625,9,10.5177554386484,21.90065,"1/17/21 12:46",1852.47134287466,25381.7041704504,2021-01-17 12:46:00,2021-01-17,5,4,2,"Corn","336N","+C",10.18043625,9,41.9905186534519,31.4727632148035,"26 2021-01-16",24.1666666666667,31.2557096753911,5,156.278548376955,156.278548376955,22.7772612571988,2.0120645798837,29.7166983443341,0.422813067176653,36817.6853194148,29.2375089517068,70.7624910482932,9.13839091426195,45.6919545713098,45.6919545713098,29.2375089517068,22.1173187611291,110.586593805646,70.7624910482932
27,22.0846,"1/16/21 12:37",463.827105377011,-5.42363559087966,2021-01-16 12:37:00,2021-01-16,4,3,1.5,2,"Corn","336N","+N",10.18043625,9,10.5071561791089,21.90212,"1/17/21 12:47",1512.37331885027,29.4132162951937,2021-01-17 12:47:00,2021-01-17,5,4,2,"Corn","336N","+N",10.18043625,9,34.2812448386811,23.7740886595722,"27 2021-01-16",24.1666666666667,23.6101294274372,5,118.050647137186,118.050647137186,1.13781952425025,1.09973750323595,1.1546501901127,0.0116813809889234,44.8182060341289,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,22.07699,"1/16/21 12:39",452.18345223066,-7.69196865953348,2021-01-16 12:39:00,2021-01-16,4,3,1.5,2,"Corn","0N","Cntrl",10.57033625,10,9.86580458057913,21.95795,"1/17/21 12:48",1695.47951394399,1.87723549205643,2021-01-17 12:48:00,2021-01-17,5,4,2,"Corn","0N","Cntrl",10.57033625,10,37.0071414197864,27.1413368392073,"28 2021-01-16",24.15,26.9727571072868,5,134.863785536434,134.863785536434,1.10772090465848,1.09725684998182,1.11152456102118,0.0112401830050162,5.35611790526525,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,22.08623,"1/16/21 12:41",474.755297928953,489.756288928455,2021-01-16 12:41:00,2021-01-16,4,3,1.5,2,"Corn","0N","+C",10.57033625,10,10.3579562227542,22.0037,"1/17/21 12:50",1468.73182283089,18252.956198301,2021-01-17 12:50:00,2021-01-17,5,4,2,"Corn","0N","+C",10.57033625,10,32.0529624857559,21.6950062630016,"29 2021-01-16",24.15,21.560254671306,5,107.80127335653,107.80127335653,17.7126639345629,1.63830474723997,25.3871262856091,0.340251286698699,29433.1088341725,24.8155010980523,75.1844989019477,5.35028523470081,26.751426173504,26.751426173504,24.8155010980523,16.2099694366052,81.0498471830259,75.1844989019477
30,22.15305,"1/16/21 12:43",460.190881551109,-4.98711197628599,2021-01-16 12:43:00,2021-01-16,4,3,1.5,2,"Corn","0N","+N",10.57033625,10,10.0379257489851,22.0503,"1/17/21 12:51",1540.74189176356,5.5971626738256,2021-01-17 12:51:00,2021-01-17,5,4,2,"Corn","0N","+N",10.57033625,10,33.6191708879075,23.5812451389224,"30 2021-01-16",24.1333333333333,23.4509620166079,5,117.25481008304,117.25481008304,1.11178809788472,1.10021487199334,1.1167145206198,0.0112932586655675,10.1033662395029,NA,NA,NA,NA,NA,NA,NA,NA,NA
