factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Treatment,112N,5,Carbon,135.292,31.746,11.224,39.429,-2.492,-0.881,41.13,cum_CO2_flux_ug_g
Treatment,112N,5,Control,95.864,34.238,12.105,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,5,Nitrogen,89.871,36.64,12.954,-5.992,2.402,0.849,-6.251,cum_CO2_flux_ug_g
Treatment,112N,10,Carbon,251.875,61.446,21.724,57.608,2.262,0.8,29.654,cum_CO2_flux_ug_g
Treatment,112N,10,Control,194.267,59.184,20.925,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,10,Nitrogen,177.324,67.658,23.921,-16.943,8.474,2.996,-8.721,cum_CO2_flux_ug_g
Treatment,112N,16,Carbon,387.573,92.739,32.788,78.663,-3.118,-1.102,25.465,cum_CO2_flux_ug_g
Treatment,112N,16,Control,308.91,95.857,33.891,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,16,Nitrogen,283.634,106.964,37.817,-25.276,11.107,3.927,-8.182,cum_CO2_flux_ug_g
Treatment,112N,24,Carbon,592.091,176.697,62.472,110.996,6.084,2.151,23.072,cum_CO2_flux_ug_g
Treatment,112N,24,Control,481.095,170.613,60.321,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,24,Nitrogen,433.838,190.062,67.197,-47.256,19.449,6.876,-9.823,cum_CO2_flux_ug_g
Treatment,112N,31,Carbon,787.243,253.921,89.775,142.526,10.618,3.754,22.107,cum_CO2_flux_ug_g
Treatment,112N,31,Control,644.717,243.302,86.02,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,31,Nitrogen,572.751,272.166,96.225,-71.966,28.864,10.205,-11.162,cum_CO2_flux_ug_g
Treatment,112N,38,Carbon,950.707,310.871,109.909,178.702,18.095,6.397,23.148,cum_CO2_flux_ug_g
Treatment,112N,38,Control,772.005,292.776,103.512,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,38,Nitrogen,690.761,337.012,119.152,-81.244,44.236,15.64,-10.524,cum_CO2_flux_ug_g
Treatment,112N,47,Carbon,1166.412,386.125,136.516,214.902,14.657,5.182,22.585,cum_CO2_flux_ug_g
Treatment,112N,47,Control,951.51,371.469,131.334,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,47,Nitrogen,850.863,437.681,154.744,-100.647,66.212,23.41,-10.578,cum_CO2_flux_ug_g
Treatment,112N,54,Carbon,1349.03,459.116,162.322,235.937,3.549,1.255,21.197,cum_CO2_flux_ug_g
Treatment,112N,54,Control,1113.093,455.566,161.067,0,0,0,0,cum_CO2_flux_ug_g
Treatment,112N,54,Nitrogen,994.995,530.646,187.612,-118.098,75.08,26.545,-10.61,cum_CO2_flux_ug_g
Treatment,112N,60,Carbon,1479.47,510.263,180.405,245.461,-4.898,-1.732,19.891,cum_CO2_flux_ug_g
Treatment,112N,60,Control,1234.009,515.161,182.137,0,0,0,0,cum_CO2_flux_ug_g
