sample,Day,sample_id,Crop,Treatment,Addition,CO2_flux_ug_g_d,cum_CO2_flux_ug_g
20,10,6,Corn,112N,Carbon,18.5359571363198,203.983741086156
21,10,6,Corn,112N,Nitrogen,11.4438151568244,111.678084711639
22,10,6,Corn,336N,Control,18.5945579674842,206.817153127249
23,10,6,Corn,336N,Carbon,23.0231849797884,263.307403912479
24,10,6,Corn,336N,Nitrogen,18.2681513284699,199.492212013028
25,10,6,Corn,336N,Control,25.014520312184,249.453834764366
26,10,6,Corn,336N,Carbon,28.897183048392,300.764463618916
27,10,6,Corn,336N,Nitrogen,23.1092844934832,233.597069604602
28,10,6,Corn,0N,Control,26.0210279574735,264.968925323801
29,10,6,Corn,0N,Carbon,21.1620527796961,213.61153725501
30,10,6,Corn,0N,Nitrogen,21.9845162592276,227.177391379177
31,10,6,Corn,112N,Control,20.1426260675834,194.451513275559
32,10,6,Corn,112N,Carbon,22.0331169365392,240.327267684266
33,10,6,Corn,112N,Nitrogen,17.1131742136305,164.922442232064
34,10,6,Corn,0N,Control,25.8037742391769,260.631989156769
35,10,6,Corn,0N,Carbon,28.9482175948191,284.116682404634
36,10,6,Corn,0N,Nitrogen,22.4946515559387,219.084332962587
37,10,6,Miscanthus,336N,Control,32.5464305191029,322.474070896146
38,10,6,Miscanthus,336N,Carbon,34.4989749698303,370.814294000683
39,10,6,Miscanthus,336N,Nitrogen,28.5312522968239,278.047325690715
40,10,6,Miscanthus,112N,Control,26.0243142251312,206.701045267548
41,10,6,Miscanthus,112N,Carbon,31.1558557642197,327.506301391703
42,10,6,Miscanthus,112N,Nitrogen,25.6616298398366,256.837691491877
43,10,6,Miscanthus,336N,Control,10.6901477511578,103.666894840734
44,10,6,Miscanthus,336N,Carbon,16.1613150648946,178.327102176733
45,10,6,Miscanthus,336N,Nitrogen,8.50714265545745,81.7222051983024
46,10,6,Miscanthus,112N,Control,9.14789099672013,86.9645006470319
47,10,6,Miscanthus,112N,Carbon,17.0388003777979,176.032227298433
48,10,6,Miscanthus,112N,Nitrogen,8.21408265333784,77.4102389930316
49,10,6,Miscanthus,0N,Control,33.9006150821983,322.344415214272
50,10,6,Miscanthus,0N,Carbon,37.2870187976661,361.159875380957
51,10,6,Miscanthus,0N,Nitrogen,28.2197302326423,277.475015164701
52,10,6,Miscanthus,0N,Control,18.6934984365217,187.16712135433
53,10,6,Miscanthus,0N,Carbon,17.9113353203676,217.474616748739
54,10,6,Miscanthus,0N,Nitrogen,18.7859289089005,184.899651763768
55,10,6,Miscanthus,336N,Control,28.2679175261511,278.695048356964
56,10,6,Miscanthus,336N,Carbon,33.0883994747691,350.686218653186
57,10,6,Miscanthus,336N,Nitrogen,25.6409237847419,254.887999062096
58,10,6,Miscanthus,112N,Control,16.5366240799133,159.436334059621
