Sample.Name,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,ave_sum,norB.001,norB.006,cnorB,norb_sum,log_norB.001,log_norB.006,log_cnorB,log_norb_sum,sample,timepoint,initial_name,Day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,nh4n_mgl_2,no3n_mgl_2,nh4n_mg_kg_2,no3n_mg_kg_2,Crop,Treatment,Addition,net_n_min,delta,net_min_rate_rel,net_min_rate_abs,net_nitr_rate_rel,net_nitr_rate_abs,cum_no3,cum_nh4,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
1b,7.035100979,10800000,9.131285965,1.35e+09,7.836950955,68700000,8.501381785,3.17e+08,9.24027404,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,1735700000,1.63e+09,2.69e+09,1.22e+09,4.32e+09,21.2118458517651,21.7128070305602,20.9221166956916,22.1865212392024,1,b,1b,4,37.744,0.0349481481481481,51.88985987,3.0665403318862,0.477635467980296,0.59497612867638,5.44342264871438,6.78070778113784,0.911914737,0.736523807,10.3927318339077,8.39387072592049,Corn,0N,Control,12.2241304298522,4,0.148049404184652,0.148049404184652,0.0586092742042295,0.0586092742042295,13.3269784654588,10.5290847775071,-0.127667714,-0.258366658
2b,6.992009383,9820000,9.209540434,1.62e+09,7.792192016,6.2e+07,8.601715664,4e+08,9.31842843,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,2.082e+09,1.72e+09,2.71e+09,1.3e+09,4.43e+09,21.2655901277718,21.720214471838,20.9856301014139,22.2116654210035,2,b,2b,4,37.681,0.0348898148148148,51.88985987,3.1603551051397,0.503223082336383,0.252116249722293,5.5555023309574,2.78332306718032,0.889672914,0.050360602,9.82184665411027,0.555972990150714,Corn,0N,Carbon,8.33882539813771,4,-0.228344257139562,-0.228344257139562,-0.404169867317507,-0.404169867317507,7.18332560363067,10.407702221203,-0.952028954,-1.907016777
3b,5.092958633,124000,7.189938666,15500000,6.042093176,1100000,6.628291256,4250000,7.318831001,20800000,0,0,0,85543364.18,0,0,0,20850000,60100000,97200000,55500000,157300000,17.9115203995054,18.3922812694307,17.8318935787167,18.8736653680285,3,b,3b,4,35.987,0.0333212962962963,51.88985987,3.3527956656597,0.759099225897255,3.29200058249559,7.54420273310473,32.7170927654287,1.290025726,4.072913701,12.8207423691694,40.478089855071,Corn,0N,Nitrogen,40.2612954985334,4,2.56364987889244,2.56364987889244,2.22970586263331,2.22970586263331,56.5153620803241,13.7526294011729,0.004167989,0.148118516
4b,6.809178219,6440000,8.513104154,3.26e+08,7.740506774,5.5e+07,8.022075389,1.05e+08,8.686768105,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,4.86e+08,4.51e+08,1.23e+09,4.11e+08,1.681e+09,19.926977897467,20.9302800063307,19.8341037724605,21.2426546913729,4,b,4b,4,37.047,0.0343027777777778,41.89255076,3.3196785750812,0.59704433497537,0.281346475131401,6.16935606352801,2.90719881359522,0.722859243,0.157376882,7.46942193842822,1.62620087713567,Corn,112N,Control,9.07655487712323,4,0.350430283429464,0.350430283429464,-0.0655344882301457,-0.0655344882301457,6.07653558011102,10.6748530404176,0.00041852,-0.000624601
5b,7.212897105,16300000,9.11768133,1.31e+09,8.079405818,1.2e+08,8.53662941,3.44e+08,9.249285376,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,1.774e+09,1.45e+09,2.27e+09,1.13e+09,3.72e+09,21.0948293933789,21.5430456684397,20.8454834696707,22.0369895052315,5,b,5b,4,36.155,0.0334768518518518,41.89255076,3.4027722274944,0.469106263194933,0.243133232122031,4.61511962183735,2.39197179471647,0.54492466,0.037770452,5.36102944706156,0.371589910063577,Corn,112N,Carbon,7.00709141655382,4,-0.0102559753070037,-0.0102559753070037,0.0866628443068597,0.0866628443068597,4.4372922122055,9.61791452213016,-1.35e-05,-0.00278518
6b,7.323188318,2.1e+07,9.198200385,1.58e+09,8.110460869,1.29e+08,8.604798691,4.03e+08,9.324247771,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,2.112e+09,1.75e+09,2.46e+09,1.52e+09,4.21e+09,21.2828816248818,21.6234271868907,21.1419761718046,22.1607284846407,6,b,6b,4,37.927,0.0351175925925926,41.89255076,3.550365148564,0.545869106263195,3.17857006957749,5.39933445729856,31.4400699814155,1.134332966,3.827405766,11.2199847895778,37.8578739798895,Corn,112N,Nitrogen,36.8394044387141,4,5.42969951402919,5.42969951402919,5.10067320718981,5.10067320718981,42.4774471340719,9.48256368723959,0.000321874,0.031515992
7b,6.55542645,3590000,9.059855864,1.15e+09,7.510108875,32400000,8.480072528,3.02e+08,9.170902625,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,1484400000,1.39e+09,1.42e+09,1.06e+09,2.81e+09,21.052569584089,21.0739227085596,20.7815347450704,21.7564503202921,7,b,7b,4,37.807,0.0350064814814815,37.49408555,3.846613975253,5.74868402533427,0.432853571679976,52.3164534238236,3.93922567709997,0.945277472,0.302163613,8.60258880441809,2.74986910329787,Corn,0N,Control,56.2556791009236,4,12.1248159526243,12.1248159526243,0.11049320358839,0.11049320358839,7.43647853984637,56.5756158515035,0.000185599,-0.001947742
8b,6.703380767,5050000,9.095676427,1.25e+09,7.682336561,48100000,8.546699954,3.52e+08,9.216615333,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,1650100000,1.58e+09,2.01e+09,1.13e+09,3.59e+09,21.1806906839853,21.4214005590174,20.8454834696707,22.0014180394466,8,b,8b,4,37.863,0.0350583333333333,37.49408555,4.1397667140235,0.486164672765658,0.166984642814237,4.117169959112,1.41413844637621,0.689496509,-0.069245828,5.83912092505279,-0.586420319711012,Corn,0N,Carbon,5.53130840548821,4,0.0317267209971512,0.0317267209971512,-0.261685215088475,-0.261685215088475,3.87501775310631,7.06069217388149,-2.02e-05,-0.002572166
9b,6.980621687,9560000,9.380460191,2.4e+09,7.974519254,94300000,8.837528971,6.88e+08,9.502916256,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,3182300000,2.37e+09,3.3e+09,1.71e+09,5.67e+09,21.5861557920935,21.9171883054188,21.259759207461,22.4584549546861,9,b,9b,4,38.117,0.0352935185185185,37.49408555,3.842863620386,0.622631949331457,2.99257499916189,5.71835860043968,27.4843220016137,0.667254686,3.676323959,6.12818146654494,33.7639897077604,Corn,0N,Nitrogen,33.2026806020534,4,4.33238172253833,4.33238172253833,3.71679843043332,3.71679843043332,40.1014502814941,8.97438403245933,0.000201136,0.022406068
10b,7.129821434,13500000,9.227357268,1.69e+09,7.974107626,94200000,8.777986348,6e+08,9.376928183,2.38e+09,0,21634976.97,25466701.84,3258254468,7816256.489,0,12182733.35,2384200000,2.12e+09,3.82e+09,1.75e+09,5.94e+09,21.4746819256303,22.0635162595649,21.2828816248818,22.504974970321,10,b,10b,4,38.218,0.035387037037037,44.57222876,3.2852040013948,0.520281491907108,0.624835548138065,5.60428527908308,6.73050400359653,0.589408306,0.566556775,6.34889448128756,6.10274600055191,Corn,112N,Control,12.3347892826796,4,-0.459879598690859,-0.459879598690859,-0.461236688744697,-0.461236688744697,15.3059547621718,11.2031421979508,0.000144862,-0.00195937
11b,7.08737806,12200000,9.179411978,1.51e+09,7.930427394,85200000,8.754642071,5.68e+08,9.335477001,2.17e+09,11470936.16,44244948.95,11112185.58,3524405538,6382269.619,19980912,14007340.31,2163200000,1.96e+09,3.71e+09,1.62e+09,5.67e+09,21.3962103101888,22.0342977135658,21.2056919861907,22.4584549546861,11,b,11b,4,38.216,0.0353851851851852,44.57222876,4.0811467964012,0.537339901477833,0.324165013944806,4.65895319863253,2.81064113133839,0.656133774,0.151081807,5.68894388207692,1.30994006966905,Corn,112N,Carbon,7.46959432997092,4,-1.33683121867489,-1.33683121867489,-1.08568117338976,-1.08568117338976,9.96400695623582,10.3225065784056,2e-05,-0.002314368
12b,7.062687508,11600000,9.12855671,1.34e+09,7.938071658,86700000,8.68632003,4.86e+08,9.282586781,1.92e+09,10803210.88,0,10308275.58,3153186739,10096017.32,0,9009412.433,1912700000,1.82e+09,3.3e+09,1.49e+09,5.12e+09,21.3221023380351,21.9171883054188,21.1220419569038,22.3564202759978,12,b,12b,4,38.201,0.0353712962962963,44.57222876,3.0562873061736,0.648219563687544,3.12601362334213,7.50203235341569,36.17825911659,0.93415656,3.764455013,10.8112638507985,43.5671258359562,Corn,112N,Nitrogen,43.6802914700057,4,5.48315236313278,5.48315236313278,5.57675940333157,5.57675940333157,50.0494806198537,15.3784928676266,-0.000831028,0.01046275
13b,6.895110134,7850000,8.671411402,4.69e+08,8.099117505,1.26e+08,8.538325218,3.45e+08,8.973265038,9.4e+08,28582873.72,23194998.87,13001410.11,2445234938,0,10674909.38,0,9.4e+08,1.11e+09,1.05e+09,9.68e+08,2.16e+09,20.8276258522707,20.7720560011158,20.6907426452408,21.4933740586425,13,b,13b,4,38.195,0.0353657407407407,39.15603401,3.8057900726745,1.60349049964814,15.3676733340369,14.9006193741383,142.805866992556,0.811826534,15.68732758,7.54399117650799,145.776290734679,Corn,336N,Control,157.706486366694,4,8.836794815809,8.836794815809,10.8151929130161,10.8151929130161,242.350962333047,37.7148311371049,0.031779454,0.14008731
14b,6.988617272,9740000,8.799538787,6.3e+08,8.150464062,1.41e+08,8.542865416,3.49e+08,9.049498882,1.12e+09,18236565.54,27446784.18,27485976.1,2101276573,11163330.28,12069649.69,7897965.012,1.12e+09,1.01e+09,8.96e+08,9.51e+08,1.906e+09,20.7332161677996,20.6134509709392,20.6730246205097,21.3682726421784,14,b,14b,4,38.244,0.0354111111111111,39.15603401,3.8362120556695,1.1343842364532,13.0128552253732,10.4712163083818,120.118402103836,0.811826534,13.70437887,7.49376707576327,126.501683387688,Corn,336N,Carbon,130.589618412218,4,2.75683612741371,2.75683612741371,4.95428476716475,4.95428476716475,220.419665139013,29.7322271757678,0.025808371,1.890813232
15b,6.871112724,7430000,8.74691829,5.58e+08,7.992054716,98200000,8.476731175,3e+08,8.980586417,9.56e+08,0,39610870.73,11509589.64,1718993754,6539455.062,24454633.57,10920235.89,956200000,9.97e+08,8.31e+08,8.01e+08,1.828e+09,20.7202613279261,20.5381403528197,20.5013715050326,21.3264883099784,15,b,15b,4,38.149,0.0353231481481482,39.15603401,3.6768008647757,2.44788177339902,18.0967878219621,23.5168815802049,173.856442257926,1.078728409,18.10463648,10.3633796890569,173.931844576636,Corn,336N,Nitrogen,197.373323838131,4,15.1281526128671,15.1281526128671,14.0045259851347,14.0045259851347,291.694780575314,42.5392566494804,0.022615952,0.085776086
