Sample.Name,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,ave_sum,norB.001,norB.006,cnorB,norb_sum,log_norB.001,log_norB.006,log_cnorB,log_norb_sum,sample,timepoint,initial_name,Day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,nh4n_mgl_2,no3n_mgl_2,nh4n_mg_kg_2,no3n_mg_kg_2,Crop,Treatment,Addition,net_n_min,delta,net_min_rate_rel,net_min_rate_abs,net_nitr_rate_rel,net_nitr_rate_abs,cum_no3,cum_nh4,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
13f,4.549334881,35400,8.171023881,1.48e+08,6.131499053,1350000,6.807112771,6410000,8.193200729,1.56e+08,0,0,0,67040591.4,0,0,0,155760000,15200000,14600000,20500000,29800000,16.5368059858165,16.4965320866786,16.8359354441086,17.2100189514756,13,f,13f,86,37.86,0.0350555555555555,39.15603401,3.8276939004309,0.150503218,24.950947547602,1.37836881870176,228.51078238525,0.150503218,17.6315396,1.37836881870176,161.476709490327,Corn,336N,Control,229.889151203952,27,1.91792223438036,3.98258681853681,1.80931342550217,4.77650692758366,1034.4923751513,44.2547541538799,0.051673717,1.03744687
14f,6.137164106,1370000,7.818894066,65900000,7.347200129,22200000,7.954495757,90100000,8.250900769,1.78e+08,0,0,0,403481894.2,0,0,0,178200000,2.39e+08,1.53e+08,2.27e+08,3.92e+08,19.2919741098958,18.8459484793567,19.2404605754457,19.7867723977547,14,f,14f,86,37.84,0.035037037037037,39.15603401,3.9274780046545,0.061971913,24.6853387853567,0.552851526721166,220.217943491815,0.061971913,17.51118779,0.552851526721166,156.21733194524,Corn,336N,Carbon,220.770795018536,27,1.35719839084156,3.74846374503602,1.28662328444891,4.44135853543102,879.042609972551,32.4614104372427,0.003182505,2.089813669
15f,6.353926976,2260000,8.318703383,2.08e+08,7.436274234,27300000,8.458366817,2.87e+08,8.718447228,5.23e+08,0,23413142.8,22696810.26,738737548.5,0,0,7317965.577,522300000,3.64e+08,2.48e+08,3.55e+08,6.12e+08,19.712664425601,19.3289393041293,19.6876283474397,20.2322428404766,15,f,15f,86,37.81,0.0350092592592593,39.15603401,4.2122277654877,0.044265652,21.4211785135431,0.367906906612568,178.038708724165,0.044265652,15.97901672,0.367906906612568,132.807048954474,Corn,336N,Nitrogen,178.406615630777,27,0.254114265298286,1.53873712015238,0.161998101858751,2.22964334839916,930.338521125181,50.2392297020288,0.002394154,0.300535989
16f,7.174526022,14900000,8.659382128,4.56e+08,8.004482455,1.01e+08,8.771074031,5.9e+08,9.059857713,1.15e+09,13679976.05,74840798.6,44303575.86,1154252479,0,16240546,5403145.092,1.147e+09,7.34e+08,1.27e+09,5.27e+08,2.004e+09,20.4140195865788,20.9622827374169,20.0827111065056,21.418411020169,16,f,16f,86,37.94,0.0351296296296296,37.88436194,4.2226210753188,0.00885313,20.2171979384588,0.0736526371690793,168.194745173375,0.00885313,15.38651552,0.0736526371690793,128.006416362458,Corn,336N,Control,168.268397810544,27,2.38972158537811,4.45727360640984,2.27708521701214,4.55079081072283,464.05538249806,4.33361058457072,0.00080432,-0.000119531
17f,6.887286871,7710000,8.6321709,4.29e+08,7.708215307,51100000,8.779054572,6.01e+08,9.033842684,1.08e+09,21114896.9,0,0,1073780621,0,0,7040752.845,1081100000,6.81e+08,1.21e+09,6.12e+08,1.891e+09,20.3390728641138,20.9138861965551,20.2322428404766,21.3603716266227,17,f,17f,86,37.94,0.0351296296296296,37.88436194,4.2505731124458,0.00885313,15.2912377095544,0.0731682927773493,126.377197404841,0.00885313,12.7711782,0.0731682927773493,105.54971017587,Corn,336N,Carbon,126.450365697618,27,1.33804993241569,2.45721017052145,1.22795200326352,2.52495979261954,390.573473398556,2.37520989614165,0.00061693,0.449108215
18f,7.003132784,10100000,8.595138283,3.94e+08,7.864457746,73200000,8.691044647,4.91e+08,8.98128606,9.58e+08,0,36562719.83,30218957.86,997599984,0,0,0,958200000,6.23e+08,1.09e+09,4.99e+08,1.713e+09,20.2500570767517,20.8094435331875,20.0281166537158,21.2615120562884,18,f,18f,86,38.04,0.0352222222222222,37.88436194,3.9561449880414,0.00885313,21.6601260792173,0.0788209009439264,192.843734602671,0.00885313,16.09473961,0.0788209009439264,143.294165624824,Corn,336N,Nitrogen,192.922555503615,27,1.7474780479358,4.10773984145967,1.63778990480921,4.37240993902338,676.504961036208,10.2130772793381,0.000500073,0.000281877
19f,6.662811792,4600000,8.544420578,3.5e+08,7.615592347,41300000,8.645552253,4.42e+08,8.921000701,8.34e+08,0,28917963.88,28419772.89,1322223535,0,0,5770634.293,833300000,5.65e+08,1.38e+09,4.94e+08,1.945e+09,20.1523362891107,21.0453493361155,20.0180460751522,21.3885278140168,19,f,19f,86,37.96,0.0351481481481481,40.52771432,4.1606811061728,0.044265652,2.41629570550896,0.373942548027076,20.4121193765519,0.044265652,2.911587925,0.373942548027076,24.5961949793345,Corn,112N,Control,20.7860619245789,27,0.664565884516857,0.404109210554542,0.561807980501154,0.481110681368689,74.669631431315,3.61166442514743,0.018455337,2.595240103
20f,6.543906343,3500000,8.40364232,2.53e+08,7.570837722,37200000,8.555533025,3.59e+08,8.812841284,6.5e+08,16443414.73,0,0,1221467103,0,18908060.34,0,649200000,3.86e+08,1.28e+09,3.12e+08,1.666e+09,19.7713479274291,20.9701259148779,19.5585137457738,21.2336913806911,20,f,20f,86,38,0.0351851851851852,40.52771432,4.1238082890512,1.407647747,0.371155820543144,12.0103416992498,3.16677822124814,1.407647747,0.060175903,12.0103416992498,0.513433249640198,Corn,112N,Carbon,15.177119920498,27,0.0587695133374082,0.255817543797705,0.0137899428769919,-0.074165955967968,21.9150314140688,29.9630147413693,0.00125225,0.053768662
21f,4.869515629,74000,6.429356244,2690000,5.918765282,829000,6.749192685,5610000,6.960466973,9130000,0,0,0,67207350.51,0,0,0,9129000,13200000,19500000,19600000,32700000,16.3957273875566,16.785925023534,16.7910401242007,17.3028856358675,21,f,21f,86,38.03,0.035212962962963,40.52771432,4.2903306889552,0.168209479,10.2230672656566,1.38058219365107,83.9060005141724,0.168209479,9.63740232,1.38058219365107,79.0991453938428,Corn,112N,Nitrogen,85.2865827078235,27,0.407422914533812,1.73825668517232,0.262740175683993,2.09593154065019,311.711588888119,13.2752238934186,0.080468368,5.200365114
22f,7.384540332,24200000,8.774307652,5.95e+08,8.057274113,1.14e+08,8.878529226,7.56e+08,9.165785212,1.46e+09,18919827.25,56083339.97,43585412.77,1526304944,6355325.897,0,6626517.01,1.465e+09,9.27e+08,1.93e+09,7.24e+08,2.857e+09,20.6474641235301,21.3807858398632,20.40030195035,21.773037960195,22,f,22f,86,37.99,0.0351759259259259,44.89761115,4.0671073210185,0.18591574,16.851466142153,1.60796305150512,145.746319920365,0.18591574,13.63678542,1.60796305150512,117.942929935161,Corn,336N,Control,147.354282971871,27,3.95791111719558,5.02300264785506,3.8598983817345,5.15079287319944,242.073866614704,12.2595291140487,0.002338717,0.057735149
