Order,Sample.Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,Day,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,name,value
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,ave_012,3.26e+08
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_025,7.740506774
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,ave_025,5.5e+07
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_039,8.022075389
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,ave_039,1.05e+08
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,F1R2_log,6.809178219
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,F1R2_ave,6440000
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,ave_sum,4.86e+08
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_sum,8.686768105
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,norB.001,4.51e+08
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_norB.001,19.926977897467
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,norB.006,1.23e+09
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_norB.006,20.9302800063307
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,norB.039,91300000
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_norB.039,18.3296613455652
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,norB.sum,1.77e+09
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_norB.sum,21.2942453835322
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,cnorB,4.11e+08
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,log_cnorB,19.8341037724605
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_012,9.11768133
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,ave_012,1.31e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_025,8.079405818
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,ave_025,1.2e+08
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_039,8.53662941
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,ave_039,3.44e+08
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,F1R2_log,7.212897105
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,F1R2_ave,16300000
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,ave_sum,1.774e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_sum,9.249285376
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,norB.001,1.45e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_norB.001,21.0948293933789
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,norB.006,2.27e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_norB.006,21.5430456684397
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,norB.039,1.8e+08
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_norB.039,19.0084674088545
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,norB.sum,3.89e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_norB.sum,22.0816749945768
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,cnorB,1.13e+09
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,log_cnorB,20.8454834696707
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_012,9.198200385
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,ave_012,1.58e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_025,8.110460869
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,ave_025,1.29e+08
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_039,8.604798691
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,ave_039,4.03e+08
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,F1R2_log,7.323188318
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,F1R2_ave,2.1e+07
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,ave_sum,2.112e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_sum,9.324247771
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,norB.001,1.75e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_norB.001,21.2828816248818
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,norB.006,2.46e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_norB.006,21.6234271868907
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,norB.039,1.97e+08
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_norB.039,19.0987142867023
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,norB.sum,4.41e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_norB.sum,22.2071405264052
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,cnorB,1.52e+09
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,log_cnorB,21.1419761718046
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_012,9.059855864
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,ave_012,1.15e+09
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_025,7.510108875
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,ave_025,32400000
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_039,8.480072528
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,ave_039,3.02e+08
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,F1R2_log,6.55542645
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,F1R2_ave,3590000
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,ave_sum,1484400000
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_sum,9.170902625
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,norB.001,1.39e+09
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_norB.001,21.052569584089
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,norB.006,1.42e+09
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_norB.006,21.0739227085596
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,norB.039,1.14e+08
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_norB.039,18.5517090063588
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,norB.sum,2.93e+09
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_norB.sum,21.7982682599754
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,cnorB,1.06e+09
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,log_cnorB,20.7815347450704
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_012,9.095676427
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,ave_012,1.25e+09
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_025,7.682336561
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,ave_025,48100000
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,log_039,8.546699954
